SalesDate,Price,NumBedrooms,NumBath,Sqft,Address,City,State
23-Nov-20,226000,1,1,2112,362 Crosby Ave,Kenmore, NY
23-Nov-20,175000,3,2,1163,308 Kirkwood Dr,West Seneca, NY
23-Nov-20,110000,6,2,2476,207 Amber St,South Park, NY
23-Nov-20,84000,1,1,1673,102 Ladner Ave,South Park, NY
23-Nov-20,217000,4,3,1810,326 Woodward Dr,West Seneca, NY
23-Nov-20,138000,3,1,864,292 Coventry Rd,Kenmore, NY
23-Nov-20,263000,3,2,1613,6 Mahogany Dr,Amherst, NY
23-Nov-20,315000,3,3,2031,48 Groveland St,Starin Central, NY
23-Nov-20,170000,1,1,610,770 W Ferry #1B,Delaware-West Ferry, NY
23-Nov-20,250000,1,1,2799,839 McKinley Pkwy,Abbott McKinley, NY
22-Nov-20,162000,3,1,1212,32 N End Ave,Kenmore, NY
20-Nov-20,136500,3,1,1110,279 Crisfield Ave,Buffalo, NY
20-Nov-20,60000,1,1,1824,37 Laird Ave,Riverside Park, NY
20-Nov-20,266000,6,2,2650,249 Tacoma Ave,North Park, NY
20-Nov-20,325000,4,3,2639,56 Creek Rd,Williamsville, NY
20-Nov-20,295000,2,2,1019,610 Main St #801,Central Business District, NY
20-Nov-20,203000,3,2,1648,24 Barbados Dr,Cheektowaga, NY
20-Nov-20,130000,2,1,1008,27 Patton Ln,Cheektowaga, NY
20-Nov-20,216000,3,1,1350,27 Cheryl Rd,West Seneca, NY
20-Nov-20,120000,2,1,1200,36 Krakow St,Kaisertown, NY
20-Nov-20,625000,3,3,2950,90 Crosby Blvd,Eggertsville, NY
19-Nov-20,135000,2,2,1041,163 Orchard Dr,Buffalo, NY
19-Nov-20,119000,2,1,1041,246 15th St,Front Park, NY
19-Nov-20,200000,4,2,1728,78 Chamberlin Dr,West Seneca, NY
19-Nov-20,209500,1,1,2444,431 Herkimer St,Forest, NY
19-Nov-20,220000,5,2,2200,102 15th St,Front Park, NY
19-Nov-20,294000,6,2,2669,157 Stratford Rd,North Delaware, NY
19-Nov-20,136000,4,2,1581,265 Harrison Ave,Buffalo, NY
19-Nov-20,131000,3,2,1274,122 Westland Pkwy,Cheektowaga, NY
18-Nov-20,103000,1,1,2336,143 Weaver St,Kaisertown, NY
18-Nov-20,165000,2,2,1064,248 Hartford Rd,Amherst, NY
18-Nov-20,183000,2,1,1095,120 Mapleview Dr,Eggertsville, NY
18-Nov-20,240000,3,2,1540,143 Brentwood Dr,Cheektowaga, NY
18-Nov-20,130000,6,2,2436,57 Dash St,Triangle, NY
18-Nov-20,196000,3,1,1633,17 Wing Ct,Cheektowaga, NY
18-Nov-20,190000,3,3,2077,160 Sunrise Blvd,Williamsville, NY
18-Nov-20,258000,3,1,1386,159 Crestwood Ave,North Park, NY
18-Nov-20,235000,4,2,2434,208 N Seine Dr,Cheektowaga, NY
18-Nov-20,285000,3,2,1840,73 Whitney Pl,Cheektowaga, NY
17-Nov-20,299990,1,1,,22 Aviano Way,Buffalo, NY
17-Nov-20,300000,3,3,2208,170 Hunters Ln,Williamsville, NY
17-Nov-20,230000,4,3,1835,46 Cherrywood Dr,Cheektowaga, NY
17-Nov-20,195000,3,2,1374,562 Woodland Dr,Buffalo, NY
17-Nov-20,126000,2,2,1002,4775 Chestnut Ridge Rd #5,Amherst, NY
17-Nov-20,215000,3,2,1613,57 Wendover Ave,Buffalo, NY
17-Nov-20,175000,3,1,1260,44 Dover Dr,West Seneca, NY
17-Nov-20,250000,4,2,1965,234 Abbington Ave,Buffalo, NY
17-Nov-20,172500,1,1,2132,116 Hawley St,Forest, NY
17-Nov-20,165000,2,1,948,24 Rose Ave,West Seneca, NY
17-Nov-20,145000,3,2,1114,21 Cleveland Dr,Cheektowaga, NY
17-Nov-20,203000,4,2,1792,171 Shepard Ave,Kenmore, NY
17-Nov-20,180000,3,1,1193,40 Leocrest Ct,Buffalo, NY
16-Nov-20,435000,5,3,2914,192 Ruskin Rd,Eggertsville, NY
16-Nov-20,177500,1,1,1936,71 W Winspear Ave,University, NY
16-Nov-20,245000,4,2,2288,85 Country Ln,West Seneca, NY
16-Nov-20,123000,2,1,1194,42 Tindle Ave,West Seneca, NY
16-Nov-20,145000,1,1,2468,45 Kimmel Ave,Triangle, NY
16-Nov-20,56000,3,1,1134,345 Crowley Ave,Riverside Park, NY
16-Nov-20,120000,6,2,3461,223 Brunswick Blvd,Hamlin Park, NY
16-Nov-20,425000,3,3,1854,4 Symphony Cir,Front Park, NY
16-Nov-20,171000,4,1,1632,136 Gold St,Lovejoy, NY
13-Nov-20,148450,3,2,1168,19 Payne Ave,Triangle, NY
13-Nov-20,162000,1,1,1476,64 Parkwood Ave,Kenmore, NY
13-Nov-20,165000,3,2,1272,393 Knowlton Ave,Kenmore, NY
13-Nov-20,365000,3,3,1965,101 Garrison Rd,Williamsville, NY
13-Nov-20,182000,4,,1814,652 Lisbon Ave,Kensington, NY
13-Nov-20,225000,3,1,1220,107 Ridgewood Dr,Snyder, NY
13-Nov-20,145000,3,1,1203,187 Kirkwood Dr,West Seneca, NY
13-Nov-20,130000,3,1,1226,51 Pulaski St,Kaisertown, NY
13-Nov-20,219000,1,1,2220,428 Massachusetts Ave,Front Park, NY
13-Nov-20,247000,4,2,1881,131 Villa Maria Rd,West Seneca, NY
13-Nov-20,158000,1,1,2634,356 Hampshire St,Grant Ferry, NY
13-Nov-20,90000,2,2,1330,3680 7th St,Buffalo, NY
13-Nov-20,170000,1,1,572,770 W Ferry St #18B,Delaware-West Ferry, NY
12-Nov-20,321000,4,3,2323,42 Morris Cres,West Seneca, NY
12-Nov-20,130000,4,1,1032,65 Benzinger St,Lovejoy, NY
12-Nov-20,750000,1,1,1100,406 Linwood Ave,Delaware-West Ferry, NY
12-Nov-20,180000,1,1,1872,36 Danbury Dr,Cheektowaga, NY
12-Nov-20,130000,3,2,1503,16 Gravel St,Buffalo, NY
12-Nov-20,280000,3,2,1779,82 Fleetwood Ter,Williamsville, NY
12-Nov-20,191000,3,2,1434,55 Shepard Ave,Kenmore, NY
12-Nov-20,55000,3,1,1156,50 Moreland St,Lovejoy, NY
12-Nov-20,460000,1,1,3193,723 Columbus Pkwy,Front Park, NY
12-Nov-20,168020,3,1,1887,20 Manlon Ter,Cheektowaga, NY
11-Nov-20,150000,1,1,7864,2264 Genesee St,Schiller Park, NY
11-Nov-20,85000,2,1,1440,149 Firestone St,Lackawanna, NY
10-Nov-20,122000,3,1,1646,308 East St,Black Rock, NY
10-Nov-20,165000,3,1,1410,122 Sunrise Blvd,Williamsville, NY
10-Nov-20,130000,5,2,2874,101 15th St,Front Park, NY
10-Nov-20,65000,6,2,1928,22 Erb St,Schiller Park, NY
10-Nov-20,197000,3,2,1172,138 Tampa Dr,Buffalo, NY
9-Nov-20,200000,3,2,1520,62 Gettysburg Ave,Buffalo, NY
9-Nov-20,175000,3,2,1622,238 Lowell Rd,Kenmore, NY
9-Nov-20,89900,2,1,1226,83 Simon St,Military, NY
9-Nov-20,270000,6,3,2388,416 Breckenridge St,Grant Ferry, NY
9-Nov-20,401213,4,3,2500,253 Highland Ave,Front Park, NY
9-Nov-20,150000,1,1,2013,22 Wabash Ave,Buffalo, NY
9-Nov-20,130000,2,1,847,1022 Highland Ave,Buffalo, NY
9-Nov-20,216000,3,3,1384,242 E Hazeltine Ave,Kenmore, NY
9-Nov-20,129000,2,1,1008,677 S Huth Rd,Cheektowaga, NY
8-Nov-20,321000,6,2,2830,60 Sterling Ave,North Park, NY
6-Nov-20,210000,3,2,2056,8 Yale Pl,Cazenovia Park, NY
6-Nov-20,118000,2,2,980,16 Appletree Ct #3,Cheektowaga, NY
6-Nov-20,200000,1,1,4926,856 Niagara St,Front Park, NY
6-Nov-20,167000,3,2,1608,570 E &west Rd,Buffalo, NY
6-Nov-20,60000,1,1,1397,56 Burlington Ave,LaSalle, NY
6-Nov-20,612000,1,1,3427,407 Norwood Ave,Grant Ferry, NY
6-Nov-20,260000,4,3,2371,4 Steiner Ave,West Seneca, NY
6-Nov-20,156900,3,1,1342,3 Hecla St,Starin Central, NY
6-Nov-20,139900,3,1,990,150 Beale Ave,Cheektowaga, NY
6-Nov-20,147000,3,1,1278,43 McNaughton Ave,Cheektowaga, NY
6-Nov-20,230000,3,2,1967,186 Cranwood Dr,West Seneca, NY
6-Nov-20,186000,4,2,1200,81 Conant Dr,Buffalo, NY
6-Nov-20,149900,4,1,1492,355 Bird Ave,Forest, NY
6-Nov-20,70000,3,1,1290,57 Ontario Dr,Cheektowaga, NY
5-Nov-20,182500,3,1,1360,101 Nagel Dr,Cheektowaga, NY
5-Nov-20,242400,3,2,2001,215 Thistle Lea,Amherst, NY
5-Nov-20,66500,3,1,1021,73 Heather Rd,Cheektowaga, NY
5-Nov-20,200999,5,2,1821,1779 Military Rd,Kenmore, NY
5-Nov-20,172345,3,1,1275,209 Harrison Ave,Buffalo, NY
