RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,1/31/96,2/29/96,3/31/96,4/30/96,5/31/96,6/30/96,7/31/96,8/31/96,9/30/96,10/31/96,11/30/96,12/31/96,1/31/97,2/28/97,3/31/97,4/30/97,5/31/97,6/30/97,7/31/97,8/31/97,9/30/97,10/31/97,11/30/97,12/31/97,1/31/98,2/28/98,3/31/98,4/30/98,5/31/98,6/30/98,7/31/98,8/31/98,9/30/98,10/31/98,11/30/98,12/31/98,1/31/99,2/28/99,3/31/99,4/30/99,5/31/99,6/30/99,7/31/99,8/31/99,9/30/99,10/31/99,11/30/99,12/31/99,1/31/00,2/29/00,3/31/00,4/30/00,5/31/00,6/30/00,7/31/00,8/31/00,9/30/00,10/31/00,11/30/00,12/31/00,1/31/01,2/28/01,3/31/01,4/30/01,5/31/01,6/30/01,7/31/01,8/31/01,9/30/01,10/31/01,11/30/01,12/31/01,1/31/02,2/28/02,3/31/02,4/30/02,5/31/02,6/30/02,7/31/02,8/31/02,9/30/02,10/31/02,11/30/02,12/31/02,1/31/03,2/28/03,3/31/03,4/30/03,5/31/03,6/30/03,7/31/03,8/31/03,9/30/03,10/31/03,11/30/03,12/31/03,1/31/04,2/29/04,3/31/04,4/30/04,5/31/04,6/30/04,7/31/04,8/31/04,9/30/04,10/31/04,11/30/04,12/31/04,1/31/05,2/28/05,3/31/05,4/30/05,5/31/05,6/30/05,7/31/05,8/31/05,9/30/05,10/31/05,11/30/05,12/31/05,1/31/06,2/28/06,3/31/06,4/30/06,5/31/06,6/30/06,7/31/06,8/31/06,9/30/06,10/31/06,11/30/06,12/31/06,1/31/07,2/28/07,3/31/07,4/30/07,5/31/07,6/30/07,7/31/07,8/31/07,9/30/07,10/31/07,11/30/07,12/31/07,1/31/08,2/29/08,3/31/08,4/30/08,5/31/08,6/30/08,7/31/08,8/31/08,9/30/08,10/31/08,11/30/08,12/31/08,1/31/09,2/28/09,3/31/09,4/30/09,5/31/09,6/30/09,7/31/09,8/31/09,9/30/09,10/31/09,11/30/09,12/31/09,1/31/10,2/28/10,3/31/10,4/30/10,5/31/10,6/30/10,7/31/10,8/31/10,9/30/10,10/31/10,11/30/10,12/31/10,1/31/11,2/28/11,3/31/11,4/30/11,5/31/11,6/30/11,7/31/11,8/31/11,9/30/11,10/31/11,11/30/11,12/31/11,1/31/12,2/29/12,3/31/12,4/30/12,5/31/12,6/30/12,7/31/12,8/31/12,9/30/12,10/31/12,11/30/12,12/31/12,1/31/13,2/28/13,3/31/13,4/30/13,5/31/13,6/30/13,7/31/13,8/31/13,9/30/13,10/31/13,11/30/13,12/31/13,1/31/14,2/28/14,3/31/14,4/30/14,5/31/14,6/30/14,7/31/14,8/31/14,9/30/14,10/31/14,11/30/14,12/31/14,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20
63478,373,14221,Zip,NY,NY,Town Of Amherst,Buffalo-Cheektowaga-Niagara Falls,Erie County,121681,121517,121354,121017,120688,120438,120379,120478,120478,120414,120240,120291,119779,119377,118854,118864,118754,118598,118327,117924,117742,117618,117750,117578,118464,119142,120033,119959,120081,120059,119835,119690,119561,119687,119661,119695,119330,119196,119160,119701,120349,121291,122444,123297,124041,124536,125288,126230,127046,128063,129095,130427,131321,131924,132048,132459,132747,133184,133463,133736,134093,134348,134517,134370,134403,134612,135675,136750,138298,139634,140892,141783,142483,143234,143999,144958,146022,146497,146215,145499,144997,144750,145028,145353,145925,146239,146911,147557,148190,149470,151405,153821,155530,156821,157180,157871,158442,159607,160190,160515,160927,161208,161536,161534,161965,162430,163678,164947,166284,166783,167371,168279,169139,170186,170758,171935,172545,173459,173798,174139,174345,175174,176056,176844,177341,177661,177930,177738,178074,178602,179380,179977,180368,180723,180594,180463,180507,180998,181662,182262,182714,183208,183684,184111,184604,184493,184958,185279,185855,185710,185499,185566,185788,185288,184669,184072,184340,184905,185521,185829,185859,185811,185875,186227,186632,187555,188219,188741,187985,187747,187645,188307,189008,190153,191032,190855,189981,189252,189385,189884,190968,191285,191058,190415,189486,188563,187609,187617,188139,188490,188252,187569,187052,186805,187214,187399,187998,188227,188886,189172,189587,189861,190206,191053,191713,192773,193427,194457,195630,197029,198499,199661,200744,201920,203411,204757,206142,207120,207925,208456,208383,208581,208493,208975,209211,209275,209423,209519,209550,209296,209181,209889,211027,211656,212148,212513,213489,214608,215328,215675,216059,216766,217612,217588,217632,218488,219572,220572,221052,222028,222774,224017,225034,226687,228413,230705,233148,234917,236315,237510,238649,239384,240673,242151,243919,245035,245820,246581,246841,247622,248996,250662,252106,252761,252689,252471,252904,254046,255717,256679,258551,260031,261302,261250,260283,259886,260150,261205,261786,262193,262613,263834,264912,266491,268345,271471,275839,280663
63414,546,14094,Zip,NY,NY,North Tonawanda,Buffalo-Cheektowaga-Niagara Falls,Niagara County,86204,85888,85794,85485,85481,85535,85674,85640,85576,85502,85447,85371,85362,85713,85991,86409,86357,86243,86040,86136,86432,86722,87105,87486,87857,87881,87816,87670,87708,87881,87991,88056,87887,87961,87972,88120,88123,88205,88352,88393,88486,88402,88637,88952,89394,89501,89469,89360,89404,89708,90350,91277,92126,92981,93473,93769,94009,94363,94766,95119,95498,95721,96052,96342,96788,96926,97097,97254,97339,97349,97564,97766,98060,98369,97857,97065,95978,95716,95639,95475,95426,95379,95308,95378,95459,95660,96178,96887,97761,98303,98774,99511,100412,101506,102544,103444,104014,104265,104449,104811,105237,105763,106238,106557,106523,106440,106289,106317,106453,106834,107355,107559,107740,107639,107713,107830,108196,108286,108509,108682,109285,109824,110185,110492,110546,110896,110964,111066,111045,111347,111564,111542,111126,110682,110457,110654,110983,111074,111265,111403,111954,112589,113186,113684,113890,114335,114602,114396,114249,114315,114605,114984,114751,114279,113656,113381,113277,113003,113135,113743,114355,114750,114891,115036,115342,115755,116432,116969,117998,118838,119397,119339,119338,119280,119240,118806,118566,118253,117925,117727,117164,116941,116538,116502,116488,116733,117115,117708,118360,118856,119201,119141,119144,119140,119326,119466,119325,119143,118949,118851,118295,118002,117832,118468,119074,119022,118837,118679,119180,119505,119834,120412,121198,121909,122246,122137,121959,122549,123297,124104,124081,124115,124004,123703,123505,123171,123515,123617,124043,123752,123642,123242,123505,123667,123979,123981,124224,124481,124560,124774,124881,125666,126217,127101,127662,128510,129322,130217,130575,131259,131965,132995,133591,134049,134605,135265,135615,135969,136493,137545,138782,139388,139846,140067,140878,141609,142032,142564,143770,145044,146019,146752,147907,149447,150612,151762,152960,154131,155507,156278,157318,158173,159354,159997,160356,160667,161457,162353,163037,163824,164645,165905,166731,167718,168641,170071,171558,173098
63428,942,14120,Zip,NY,NY,North Tonawanda,Buffalo-Cheektowaga-Niagara Falls,Niagara County,94944,94387,94090,93586,93446,93488,93538,93533,93462,93461,93417,93414,93403,93801,94150,94376,94297,94105,93957,93922,93929,93909,94027,94243,94616,94747,94849,94817,94594,94276,93863,93509,93327,93259,93137,92877,92401,92130,91953,91995,92107,92223,92653,93077,93536,93714,93986,94154,94360,94514,94900,95357,95852,96181,96258,96103,95895,95935,95947,96162,96444,96765,97348,97768,98235,98609,98892,99139,99098,99063,99256,99381,99569,99826,99082,98363,97406,97303,97352,97694,98250,98658,98769,98928,99050,99064,99576,100303,101335,101892,102455,102847,103436,104137,105005,105749,106447,107135,107644,107922,108105,108405,108745,109146,109396,109640,109856,110177,110427,110699,111238,111846,112413,112843,113191,113522,113747,113983,114274,114570,115110,115701,116068,116212,116200,116160,116267,116366,116743,116995,117161,117269,117303,117317,117454,117918,118482,119074,119489,119932,120385,120830,121113,121228,121337,121671,121709,121257,120786,120560,120598,120559,120353,120332,120395,120556,120381,120080,120266,121208,122352,123153,123392,123693,123817,124081,124691,125358,126363,126766,127109,126760,126295,125840,125729,125536,125267,124898,124098,123544,122787,122793,122635,122714,122703,122657,122740,122762,123196,123401,123729,123583,123557,123511,123410,123307,123144,123294,123353,123510,123486,123592,123750,124464,125226,125341,125288,125251,125737,126207,126750,127565,128054,128494,128618,128485,128504,128998,129898,130613,130893,130870,130658,130233,130109,129967,130285,130556,130850,130802,130806,130853,130950,130863,131093,131122,131670,131935,132275,132314,132469,133207,133760,134296,134664,135543,136253,137154,137322,138111,138804,140018,140627,140891,141463,142511,143559,144554,145646,147042,148261,148864,149265,149625,149822,150008,149458,149715,150744,152009,152944,153553,154863,156561,157987,159055,160725,162579,165044,166221,167232,167940,168759,169261,169400,169632,170198,171051,171648,172210,172676,173704,174528,175539,176717,178343,180052,181719
63405,957,14075,Zip,NY,NY,Town of Hamburg,Buffalo-Cheektowaga-Niagara Falls,Erie County,106236,106426,106447,106719,106899,107102,107152,107264,107402,107621,107763,107928,107383,106796,106278,106084,106014,105856,105926,105733,105552,105314,105276,105082,106016,106812,107856,108021,108097,108092,107800,107911,108032,108333,108341,108424,108169,108176,108039,108318,108554,109064,110076,110766,111152,110829,110809,111206,111583,112092,112655,113151,113575,113577,113424,113401,113947,115035,116166,116739,117175,117022,116699,116410,116179,116018,115522,115133,114409,114001,113295,112855,112327,112600,113250,114399,115849,117153,117883,117982,118297,118866,119947,120583,121510,121976,122545,122541,122115,122111,123447,125888,128194,129346,129651,130472,131066,131680,131667,131871,132231,132653,132745,131971,131236,131420,132393,133417,134280,135219,136468,137781,139217,140304,140984,142000,142965,143401,143329,143199,143413,143978,144373,144733,144835,145274,145757,146284,146712,147603,148702,149717,150323,150433,150298,150092,150057,150135,150519,150816,151240,151372,151388,151308,151402,151346,151677,152068,152610,152924,153031,153057,152999,152615,152237,151829,152105,152677,153233,153297,153177,152455,151697,151269,151241,151832,152189,152649,152114,151858,151687,152233,152630,153598,154411,154739,154470,153919,153986,154093,154636,154475,154227,153628,153275,152805,152423,152291,152459,152745,152697,152284,151920,151820,151889,151798,151625,151645,152188,152736,152922,152648,152309,152677,152954,153532,153858,154522,155462,156131,156353,156212,156619,157631,158768,159452,160088,160590,161099,161415,161310,161460,161605,162183,162530,162516,162697,162839,163194,163218,163296,163785,164491,164992,165578,166110,166837,167394,167784,168102,168291,168725,169172,169080,168826,169156,169532,170019,169850,170191,170450,171225,172107,173356,174411,175954,177660,178802,179569,180049,181245,182593,184223,185814,186915,187477,188119,188686,189224,189832,190808,191995,192888,193436,193178,192669,192819,193755,195398,196329,197996,199278,200508,200674,200479,200294,200849,201755,202672,203309,203598,204639,205341,206662,208173,210728,213857,217416
63447,1030,14150,Zip,NY,NY,Tonawanda,Buffalo-Cheektowaga-Niagara Falls,Erie County,77161,77112,77115,77137,77268,77348,77409,77395,77423,77379,77294,77186,76754,76480,76211,76256,76174,76138,76067,75866,75588,75482,75527,75587,76211,76653,77043,76799,76536,76298,76076,76283,76600,76839,76889,76915,76769,76664,76574,76760,76822,76896,77194,77390,77415,77329,77293,77378,77278,77398,77749,78132,78643,78885,78800,78525,78383,78398,78478,78359,78327,78196,77814,77704,77579,77930,78098,78371,78554,78897,79007,79262,79383,79644,80086,80388,80469,80194,80190,80087,80121,80002,80505,80864,81537,81884,82373,82745,83534,84326,85296,86600,87681,88563,88587,88927,89153,89733,89940,90111,90060,90231,90355,90282,90497,90976,91726,92222,92422,92539,92840,93470,94331,95134,95862,96217,96281,96182,96426,96958,97723,98496,99076,99386,99259,99083,98795,99037,99506,100269,100850,101217,101421,101513,101413,101257,101219,101446,101858,102214,102534,102797,102992,103180,103335,103318,103617,104071,104687,105102,105282,105372,105347,105098,104923,104748,105125,105520,105935,105960,106131,106077,106275,106515,107046,107740,108068,108236,107687,107701,107764,108609,109003,109567,109718,109683,109226,108522,108438,108525,108976,108736,108501,107763,107177,106462,106011,105807,105790,105952,105706,105310,105000,104983,105087,105024,105163,105473,105983,106212,106381,106503,106694,107191,107436,107896,108231,108838,109444,109890,110285,110737,111336,112038,112784,113424,114137,114711,114936,115086,114857,115080,115155,115454,115520,115395,115451,115432,115753,115821,116269,116765,117637,118001,118417,118718,119355,119992,120563,121070,121431,121918,122420,122867,123116,123683,124224,124892,125312,125904,126435,127236,128048,129140,129865,130733,131831,132878,133662,134018,134661,135643,136756,137809,137800,137650,137759,138616,139318,140190,141549,143291,144306,144921,144990,145102,145966,147228,148975,149929,151327,152404,153033,152856,152762,152590,152922,153317,154072,154642,154961,155721,156412,157501,158992,161263,164072,167395
63481,1223,14224,Zip,NY,NY,West Seneca,Buffalo-Cheektowaga-Niagara Falls,Erie County,96834,96845,96948,97136,97397,97631,97780,97923,97921,97934,97894,98016,97727,97587,97347,97372,97274,97280,97269,97089,96951,96965,97109,97082,97747,98161,98530,98340,98299,98172,98025,98137,98447,98646,98657,98570,98198,98062,98010,98336,98343,98140,98497,98873,99499,99682,100071,100433,100815,101457,102381,103098,103484,104252,104292,104329,103306,102697,101992,101559,101386,100918,100417,100153,101015,101921,102106,101501,101685,102574,103549,104057,104507,104973,105270,105234,104658,103645,103413,103830,104294,104381,104544,104997,105084,105065,105442,106279,106908,107767,108902,110689,112178,113122,113339,113740,114361,115386,115918,116232,116467,116697,116794,116321,115921,116062,116838,117506,118136,118541,118990,119240,120030,121126,122159,122856,123557,124032,124522,125005,125494,126074,126747,127812,128346,128330,128501,128936,129746,130395,130910,131271,131470,131727,131567,131239,131051,131653,132143,132593,132436,132316,132276,132368,132684,132477,132777,132975,133386,133034,132384,131985,132116,132334,132308,132242,132505,133112,133553,133785,133957,134189,134558,134896,135100,135594,136063,136363,135793,135575,135551,136058,136197,136620,137153,137223,136966,136520,136649,137077,137807,137838,137598,137012,136714,136313,135674,135390,135343,135395,134974,134105,133512,133212,133312,133279,133359,133307,133763,134161,134516,134282,134168,134665,135186,135842,136279,137021,137785,138617,139225,139549,139888,140684,141617,142262,142898,143385,143655,143605,143167,142965,142692,142987,143247,143496,143656,143815,143817,143775,143738,144325,145230,145991,146695,147146,147887,148539,149108,149323,149451,149784,150458,150712,150917,151489,152059,152670,152693,153128,153553,154642,155833,157148,158371,159783,161340,162139,162766,163201,164345,165496,166907,168342,169651,170637,171010,171368,171227,171838,172858,174154,174883,175054,174876,174589,174749,175379,176794,177760,179309,180373,181217,181471,181385,181461,181792,182358,182865,183243,183477,184230,184940,185988,187218,188989,191377,194138
63482,2045,14225,Zip,NY,NY,Cheektowaga,Buffalo-Cheektowaga-Niagara Falls,Erie County,84136,84070,83909,83669,83377,83102,82843,82621,82463,82340,82253,82229,81710,81119,80525,80287,80237,80198,80185,80101,79917,79706,79337,78958,79469,80084,80795,80800,80612,80307,79823,79389,79116,79032,79157,79150,78772,78302,77879,77834,77793,77927,78448,79075,79507,79464,79493,79733,79953,80435,80889,81454,81944,82303,81982,81485,81056,81296,81451,81372,81332,81175,81218,81222,81345,81484,81761,81709,81573,81221,80881,80881,80561,80506,80048,79724,79321,78768,78317,77955,77917,77987,78220,78160,78360,78245,78517,78722,78992,79446,80211,81923,83367,84362,84321,84574,84871,85619,85839,85845,85727,85818,85841,85157,84405,84002,84749,85455,86081,85850,85894,86308,87067,87646,87956,88122,88396,88530,88661,88554,88489,89008,89736,90199,90353,90325,90598,91085,91751,92512,92830,93227,93350,93518,93256,93132,92986,93262,93323,93364,93171,93088,93105,93172,93564,93597,93815,93701,93927,93821,93752,93473,93371,93184,93130,93029,92983,93028,93170,93336,93452,93537,93828,94427,95007,95599,95796,95876,95419,95382,95489,96117,96421,96982,97210,97117,96569,95907,95886,96049,96622,96582,96373,95853,95323,94330,93310,92769,93012,93292,92932,92274,91720,91539,91428,91267,91268,91445,91964,92169,91927,91446,91330,91688,92027,92305,92432,92534,92818,93249,93485,93562,93753,94326,94822,95171,95467,95857,96221,96588,96639,96746,96934,97403,97627,97593,97769,97965,98074,97942,97964,98355,98828,99162,99394,99582,100005,100719,101192,101477,101778,102351,102870,103057,103424,104094,104776,105455,106153,106877,107704,108572,109329,110105,110913,111987,113034,113886,114877,115586,116128,116585,117210,118265,119321,120268,121216,122171,123061,123981,124777,125796,126685,127396,127730,127894,128524,129517,130889,131866,133129,134069,134805,134859,134798,135414,136558,137846,138601,139202,139607,140398,141117,142227,143643,145662,148000,150032
63472,2282,14215,Zip,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County,61596,61183,60779,60138,59821,59818,59784,59599,59255,58918,58483,58151,57642,57353,57134,57042,56589,55791,55122,54870,54757,54803,54659,54637,54698,54831,55012,54950,55043,54990,54689,53913,53295,52733,52804,52476,52466,52268,52184,52074,51520,51306,51613,52443,53332,53553,53680,53938,54109,54159,54117,54607,55573,56528,56565,56150,55387,55656,55399,55546,55081,55044,54747,54344,54322,54669,55419,56211,56281,55859,55280,54594,54201,53949,54347,54251,53527,52149,50960,49372,48480,48083,48800,49378,50021,50381,49861,49667,48739,48212,47451,48200,49644,50333,49617,48802,48256,47581,47144,46661,47358,48004,48473,47845,46698,46392,46996,47676,47774,47766,48118,48604,48767,48728,49097,49472,49859,49561,49437,49292,49825,50972,51992,52939,53605,54505,55346,56478,57580,58797,59303,59964,60217,60442,60124,59666,59189,58968,58768,58504,57851,57308,57050,56381,55634,54126,53469,53087,53203,52767,51850,50634,49671,48918,48324,48403,48496,48851,48782,48237,47704,47064,47082,47219,47793,47961,47892,47041,46328,45631,45417,45833,45964,46154,45953,45771,45260,44700,44410,44481,44780,45149,44916,44336,43739,43676,43452,43238,42951,43101,43163,43088,42707,42472,42423,42139,41967,41694,41779,42160,42438,42834,42732,42770,42452,42029,41692,42033,42340,42384,42278,42048,41963,41539,41562,41747,42511,43102,43630,43465,43550,43742,44113,44405,44820,45156,45543,45666,45626,45739,46102,46729,46978,47128,47347,47465,47443,47501,47681,47855,47999,48238,48190,48253,48287,48536,48284,48086,47912,47874,47658,47678,47989,48299,48353,48276,48491,48893,49626,50495,51231,51932,52578,53275,53737,54083,54909,55973,57044,57817,58622,59236,59955,60645,61258,61719,62290,63124,64171,64475,64909,65095,65393,65523,65494,65595,65862,66293,66732,67088,67155,67793,68339,69293,70184,71386,72811,74294
63411,2655,14086,Zip,NY,NY,Town of Lancaster,Buffalo-Cheektowaga-Niagara Falls,Erie County,124034,124020,124071,124188,124430,124438,124463,124401,124511,124518,124488,124518,123999,123576,123088,123036,122768,122710,122736,122774,122624,122505,122439,122158,122849,123516,124332,124309,124297,124256,123850,123662,123586,123841,124072,124463,124402,124329,124093,124144,124179,124690,125782,126845,127434,127575,127752,128155,128667,129173,129819,130766,132090,132362,131607,130176,129613,129777,130082,130109,129931,129969,130328,130430,130279,130054,130713,131861,132990,133822,134358,135085,135679,136566,137097,137812,138251,139476,140398,141184,141183,141010,141461,141723,142420,142515,142937,143397,144270,145114,146179,147258,148553,149722,150401,151537,152361,153461,153825,154151,154517,154873,155163,155788,156649,157631,158245,158524,159069,159600,160726,161741,162492,163147,163758,164260,164594,165292,166476,167675,168217,168838,169291,169910,170449,170878,171304,171519,171939,171878,171800,171787,172321,172762,172565,172285,172213,172703,173178,173543,173669,174069,174482,174750,174969,174842,175557,176227,176999,177093,176931,177223,177898,178178,178104,177802,178106,178679,179129,178964,178540,177939,177835,177612,177326,177538,177805,178280,177429,177042,176528,177061,177548,178700,179310,179376,178717,178190,178200,178680,179694,180019,180105,179666,179187,178304,177552,177376,177908,178073,177902,176958,176388,175946,176207,176310,176633,176933,177648,178242,178511,178546,178552,179144,179557,180229,180492,181027,181907,182859,183727,184059,184458,185439,186682,187918,188908,189693,190287,190852,190619,190546,189992,190357,190874,191071,191406,191369,191578,191448,191423,191840,192678,193337,194312,194944,195764,196364,196361,196379,196334,196923,197671,198023,198439,199203,200077,200897,201238,201890,202758,204202,205784,207563,209150,210849,212613,213819,214660,215273,216463,217825,219546,220915,221877,222225,222447,222839,222854,223586,224586,226142,227180,228109,228059,227873,228189,229486,231586,232278,233794,234630,236153,236662,236653,236642,237197,238495,239778,240725,241376,243306,245054,247376,249426,252370,256241,260525
63505,2914,14304,Zip,NY,NY,Niagara Falls,Buffalo-Cheektowaga-Niagara Falls,Niagara County,74604,74746,75030,75413,75800,76049,76267,76320,76245,76170,76133,75999,75788,75734,75722,75760,75701,75821,75985,76198,76354,76457,76612,76887,77310,77357,77104,76858,76745,76544,76132,76107,76490,77019,77208,77297,77243,77458,77564,77655,77607,77686,78157,78212,78028,77529,77265,77167,77090,77189,77625,78085,78663,78942,79130,79284,79510,79705,80018,80125,80457,80361,80590,80724,80970,81027,80906,80702,80300,80120,80145,80325,80367,80539,79987,79551,78861,79133,79420,79915,80163,80417,80387,80410,80249,80187,80375,80762,81282,81226,81128,81208,81807,82417,82759,82929,83291,83730,84160,84331,84464,84650,84968,85156,85406,85475,85826,86065,86437,86666,86977,87309,87680,88134,88542,88832,88823,88907,89161,89726,90022,90247,90215,90339,90428,90545,90639,90715,90778,90803,90608,90302,90109,90059,90198,90233,90387,90237,90211,90131,90416,90708,91011,91206,91462,91829,92008,91791,91377,91224,91068,91222,91035,91166,91184,91436,91162,90712,90654,91495,92504,93362,93843,94284,94753,94855,95236,95319,96193,96695,97066,96627,96136,95841,95917,95576,95217,95094,94871,94829,94407,94730,94773,94869,94977,94957,94908,94895,95069,95223,95225,94917,94506,94006,93730,93554,93254,93100,92934,92957,92810,92464,92267,92455,92948,93001,92968,93101,93480,93836,94279,94898,95387,95800,96016,96244,96320,96661,97254,97833,98133,98116,97848,97610,97531,97670,97947,97946,97861,97548,97197,96754,96584,96511,96789,96866,97317,97530,97753,97896,98333,99068,99437,99786,100058,100775,101276,101538,101213,101170,101435,102090,102553,102883,103543,104316,104762,105238,105873,107033,108080,108932,109602,110364,111068,111761,112587,113717,115154,115823,116012,116176,117236,118601,119815,120640,121735,122799,123895,124405,125008,125615,126543,127323,127759,128203,128694,129358,129899,130533,131043,131866,132563,133685,134824,136023,137116,138132
